InspectionID,DBA_Name,AKA_Name,LicenseId,FacilityType,Risk,Address,City,State,Zip,InspectionDate,InspectionType,Results,Violations,Latitude,Longitude,Location
154295,MISERICORDIA LONG TERM CARE,MISERICORDIA LONG TERM CARE,1069884,Long Term Care,Risk 1 (High),6300 N RIDGE AVE ,CHICAGO,IL,60660.0,2010-03-02,Canvass,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. MUST REMOVE SOAP AND PAPER TOWEL DISPENSER AT ONE COMPARTMENT PREP SINK IN CATERING PREP AREA. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Shielding to protect against broken glass falling into food shall be provided for all artificial lighting sources in preparation, service, and display facilities.MUST PROVIDE FOR 1ST FLOOR WALK IN COOLER AND FREEZER, BASEMENT WALK IN COOLER, SCHOOL LUNCH PREP ROOM.",41.99557919699579,-87.67587688398633,"(41.99557919699579, -87.67587688398633)"
154293,IMPERIAL CONV & GERIATRIC,IMPERIAL CONV & GERIATRIC,3792,Long Term Care,Risk 1 (High),1366 W FULLERTON AVE ,CHICAGO,IL,60614.0,2010-02-26,Canvass,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All utensils shall be thoroughly cleaned and sanitized after each usage.INTERIOR OF BOTH ICE MACHINES MUST CLEAN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.WATER DAMAGED CEILING TILES IN DRY STORAGE MUST REPLACE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health.THREADED NOZZLE ON ONE COMPARTMENT PREP SINK MUST REMOVE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors.EMPLOYEE PERSONAL BELONGINGS MUST NOT BE STORED IN FOOD AREAS.",41.92533055530821,-87.66312243534863,"(41.925330555308214, -87.66312243534863)"
233856,SUPER DOLLAR,SUPER DOLLAR,1991979,Grocery Store,Risk 3 (Low),4801 S ASHLAND AVE ,CHICAGO,IL,60609.0,2010-05-14,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. RAW WOOD STORAGE SHELVES IN BREAK AREA (WHERE MICROWAVE OVEN IS LOCATED) NEED  PAINTING. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN MOP SINK, FIXTURES IN WASHROOM AND SHELVES WHERE NEEDED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. SEAL CRACKS IN FLOORS RE-PAINT SAME AND DETAIL CLEAN ALL FLOORS THROUGHOUT ALONG ALL WALL BASES, IN CORNERS, UNDERNEATH AND BEHIND ALL HEAVY EQUIPMENT(INCLUDING BASEMENT). | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. ALL WALLS & DOORS THROUGHOUT MUST BE IN GOOD REPAIR ( NO HOLES OR OPENINGS AND NO RUST- MUST REPAIR OR REPLACE WALL PANELING IN WASHROOM. CLEAN WALLS AND DOORS IN REAR SECTIONS WHERE NEEDED. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: WASHROOM DOOR MUST BE SELF-CLOSING. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REAR SECTIONS OF PREMISES MUST FREE OF CLUTTER(INCLUDING BASEMENT).",41.8066939242314,-87.66477165261817,"(41.8066939242314, -87.66477165261817)"
52237,DISNEY MAGNET,DISNEY MAGNET,29401,School,Risk 1 (High),4140 N Marine DR ,CHICAGO,IL,60613.0,2010-02-18,Canvass,Fail,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: All food should be properly protected from contamination during storage, preparation, display, service, and transportation.  WE OBSERVED INTERIOR OF ICE MACHINE NOT CLEANED,( BLACK SLIME ON  SURFACE OF INTERIOR OF UNIT),DRIPPINGS ON ICE CUBES.ICE IS USED FOR HUMAN CONSUMPTION.INSTRUCTED MANAGER TO CLEAN AND SANITIZE UNIT.FOOD(ICE)NOT PROTECTED DURING STORAGE.SERIOUS VIOLATION:7-38-00(A). HOOOO60133-15 | 26. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, PROPERLY DESIGNED AND INSTALLED - Comments: When toilet and lavatory facilities are provided for the patrons of food establishments, such facilities shall be adequate in number, convenient, accessible, properly designed, and installed according to the municipal code.CERTIFIED FOOD MANAGER AND I, FOUND SEVERAL WASH BOWLS WITHOUT HOT WATER: 1ST FLOOR  NEAR THE ELEVATOR BOYS WASHROOM WATER TEMPERATURE,BOYS WASHROOM NEAR THE OFFICE, WATER TEMPERATURE OF 68F.GIRLS WASHROOM NEAR THE LIBRARY WATER TEMPERATURE OF 50F TO 52.3F;2ND FLOOR BOYS WASHROOM NEXT TO LIBRARY  NO HOT WATER , WATER TEMPERATURE OF 51.6F; GIRLS WASHROOM NEXT TO ELEVATOR NO HOT WATER, WATER TEMPERATURE OF 54,6F MANAGEMENT IS REQUIRED TO PROVIDE HOT WATER IN ALL WASH BOWLS,IN BOYS AND GIRLS WASHROOMS,USE OTHER WASHROOMS THAT HAS HOT/COLD RUNNING WATER FOR PROPER HAND WASHING.SERIOUS VIOLATION:7-38-030 HOOOO60133-15 | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair.ICE MACHINE SLIDING DOOR (HARD PLASTIC)HAS A HOLE INSTRUCTED TO REPAIR OR REPLACE IT.DISH MACHINE BROKEN (PRESENTLY NOT IN USE),TAGGED UNIT INSTRUCTED MANAGER TO FAX A LETTER WHEN UNIT IS FIXED(FAX #312-746-4240).USE 3 COMPARTMENT SINK FOR :WASH,RINSE AND SANITIZE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.SEAL CEILING TILES AROUND PIPE ABOVE SERVING TRAYS. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health.OBSERVED IN BOYS WASHROOM A URINAL REMOVED, INSTRUCTED TO CAP OPENED LINE(3 FLOOR ),ADDITIONAL WATER FLOW IS NEEDED AT BOYS WASHROOM ,2ND FLOOR.",41.95680712260342,-87.64611750224417,"(41.95680712260342, -87.64611750224417)"
70344,MIND WORKS/CHICAGO,COFFEE BAR,33830,Grocery Store,Risk 3 (Low),11601 W TOUHY AVE BLDG M10,CHICAGO,IL,60666.0,2010-03-02,Illegal Operation,Pass w/ Conditions,"8. SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME - Comments: Equipment and utensils should get proper exposure to the sanitizing solution during the rinse cycle.  Bactericidal treatment shall consist of exposure of all dish and utensil surfaces to a rinse of clean water at a temperature of not less than 180F.  NO ADEQUATE WASHING/SANITIZING FACILITIES FOR UTENSILS,EQUIPMENT.  MUST PROVIDE 3 COMPARTMENT SINK, WITH HOT AND COLD RUNNING WATER TO WASH,RINSE AND SANITIZE UTENSILS/EQUIPMENT SUCH AS COFFEE MACHINE.  OR INSTALL COMMERCIAL DISHMACHINE APPROVED BY CDPH.  COFFEE MAKER IN USE AT TIME OF INSPECTION.  CRITICAL VIOLATION.  CITATION ISSUED. 7-38-030.  MANAGER CEASED COFFEE OPERATION. | 12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: Adequate and convenient hand washing facilities shall be provided for all employees.NO EXPOSED HANDWASHING FACILITY IN PREP AREA (PREPARES AND SERVES COFFEE).  MUST PROVIDE EXPOSED HANDSINK, WITH HOT AND COLD RUNNING WATER AND WITH SOAP AND PAPER TOWEL OR HAND DRYING DEVICE.  CRITICAL VIOLATION.  CITATION ISSUED. 7-38-030.  FOOD (BEVERAGE) HANDLING CEASED DURING INSPECTION.",42.008536400868735,-87.91442843927047,"(42.008536400868735, -87.91442843927047)"
68314,PHIL'S KASTLE,PHIL'S KASTLE,1193175,Restaurant,Risk 1 (High),3532 E 95TH ST ,CHICAGO,IL,60617.0,2010-02-25,Complaint,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.    MUST DETAIL CLEAN AND MAINTAIN GYROS MACHINE AND CABINETS/SHELVES THROUGHOUT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.    MUST DETAIL CLEAN AND MAINTAIN FLOORS IN BASEMENT, IN ALL CORNERS, AND UNDER/AROUND ALL HEAVY EQUIPMENTS. MUST REPLACE/PROVIDE ALL MISSING/DAMAGED FLOOR TILES IN PREP AREA. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Use dustless cleaning methods. The walls and ceilings shall be in good repair and easily cleaned.    MUST DETAIL CLEAN AND MAINTAIN VENTS IN WASHROOM, WALLS BEHIND AND AROUND 3-COMP. SINK. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Shielding to protect against broken glass falling into food shall be provided for all artificial lighting sources in preparation, service, and display facilities.    MUST PROVIDE A SHIELD TO THE LIGHT INSIDE OF THE WALK-IN COOLER. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health.    MUST REPAIR THE LEAK AT THE BASE AND UNDERNEATH THE 3-COMP. SINK IN THE FRONT PREP AREA. ALSO, MUST HAVE FAR RIGHT COMPARTMENT DRAIN FIXED OR PROVIDE AN ADEQUATE PLUG FOR IT ON SAME SAID SINK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors.    MUST REMOVE ANY/ALL UNUSED EQUIPMENTS (I.E. FREEZER, ICE MACHINE ETC.) FROM BASEMENT IN ORDER TO PREVENT PEST HARBORING SITES.",41.72303872853816,-87.53747698960596,"(41.723038728538164, -87.53747698960596)"
74348,ANNUNCIATA SCHOOL,ANNUNCIATA SCHOOL,2046680,School,Risk 1 (High),3750 E 112TH ST ,CHICAGO,IL,60617.0,2010-03-24,Consultation,Pass w/ Conditions,NIL,41.69193962813465,-87.53205799000116,"(41.69193962813465, -87.53205799000116)"
44257,AMUNDSEN HIGH SCHOOL,AMUNDSEN HIGH SCHOOL,46031,School,Risk 1 (High),5110 N Damen AVE ,CHICAGO,IL,60625.0,2010-05-11,Canvass,Pass w/ Conditions,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: All food establishments that display, prepare, or store potentially hazardous food shall have adequate refrigerated food storage facilities.  FACILITIES DO NOT MAINTAIN PROPER TEMPERATURE.  OBSERVED AIR TEMPERATURE INSIDE OF THE WALK-IN COOLER AT 56.6F AND AIR TEMPERATURE INSIDE OF THE BAKERY 2 DOOR PREP COOLER AT 51.0F.  BOTH UNITS WERE USED TO STORE POTENTIALLY HAZARDOUS FOODS.  BOTH UNITS WERE TAGGED BY CDPH.  INSTRUCTED MANAGEMENT TO MAINTAIN UNITS BELOW 40F.  FAX REINSPECTION LETTER TO (312) 746-4240 AFTER UNITS HAVE BEEN REPAIRED.  CRITICAL VIOLATION 7-38-005A. | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: All cold food shall be stored at a temperature of 40F or less.  OBSERVED POTENTIALLY HAZARDOUS FOODS AT IMPROPER TEMPERATURES.  OBSERVED JUICE BETWEEN 44.7-54.9F, SOFT BOILED EGGS AT 54.6F, MOZZARELLA CHEESE AT 58.2F, SLICED HAM AT 54F.  MANAGEMENT VOLUNTARILY DISCARDED 10# OF FOOD WORTH $38.  CRITICAL VIOLATION 7-38-005A. | 27. TOILET ROOMS ENCLOSED CLEAN, PROVIDED WITH HAND CLEANSER, SANITARY HAND DRYING DEVICES AND PROPER WASTE RECEPTACLES - Comments: In all food establishments, toilet facilities shall be kept clean and in good repair and shall include an adequate supply of hot and cold or tempered water, soap, and approved sanitary towels or other approved hand-drying devices.  OBSERVED SEVERAL STUDENT RESTROOMS WITH NO HAND SOAP, PAPER TOWELS, OR HAND DRYING DEVICES.  3RD FLOOR NORTH BOY'S RESTROOM WAS WITHOUT A SOAP DISPENSER.  MANAGEMENT REPLACED IT.  THE ELECTRIC HAND DRYERS WERE NOT OPERATIONAL IN THE 3RD FLOOR NORTH GIRL'S RESTROOM AND THE BOY'S LOCKER ROOM ON THE 1ST FLOOR.  MANAGEMENT PROVIDED PAPER TOWELS TO DRY HANDS.  SERIOUS VIOLATION 7-38-030. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.  DETAIL CLEAN THE FOLLOWING ITEMS:  ALL 3 VENTILATION HOODS AND FILTERS, THE WIRE RACKS INSIDE OF THE WALK-IN COOLER, DUST ON TOP OF THE PIZZA OVEN. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.  MAINTAIN THE FLOORS DRY AND CLEAN IN THE RESTROOMS.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED WATER LEAK AROUND THE GREASE TRAP OF THE BAKERY 2C SINK.  MUST REPAIR OR REPLACE.  THE LEFT SINK IN THE 3RD FLOOR NORTH GIRL'S RESTROOM IS LEAKING AT THE DRAIN LINE.  MUST REPAIR LEAK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors.  LITTER IN RESTROOMS, ESPECIALLY ABOVE URINALS IN BOY'S LOCKER ROOM.  MUST MAINTAIN AREAS CLEAN.",41.97507921514951,-87.67952139085273,"(41.97507921514951, -87.67952139085273)"
229249,ALL STARS ON WELLS,ALL STARS ON WELLS,2008993,Restaurant,Risk 1 (High),205 W WACKER DR ,CHICAGO,IL,60606.0,2010-02-23,License,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: All food establishments that display, prepare, or store potentially hazardous food shall have adequate refrigerated food storage facilities. Must keep 3-door cooler in rear kitchen at 40f or below, at all times. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. Must provide splash guard at both sides of bar handsink; Provide condenser fan cover in W.I.F.; replace inside panel of ice machine. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. Must replace door threshold at rear exit door. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. Must seal openings around pipes on ceiling/walls.",41.88670730409604,-87.63415039321221,"(41.886707304096035, -87.63415039321221)"
158404,THE ORIGINAL MAXWELL STREET & MORE,THE ORIGINAL MAXWELL STREET & MORE,2021231,Restaurant,Risk 2 (Medium),1157 W 47 TH ST ,CHICAGO,IL,60609.0,2010-04-23,License,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines. OUTER REAR EXIT DOOR NOT TIGHT-FITTING AT BOTTOM AND ALONG LOWER RIGHT SIDE(1/4 INCH GAP NOTED)- MUST REPAIR- NO CITATION ISSUED | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. WALLS & DOORS OF WALK-IN COOLER AND FREEZER NOT EASILY CLEANABLE, MUST PAINT THE INTERIORS OF BOTH. PAINT UPPER FRONT COUNTER AREA UNDERNEATH GLASS | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health. ATTACH PIPING TO WASTELINE IN WALL IN WASHROOM SO THAT IT GOES DIRECTLY INTO THE FLOOR DRAIN",41.80862762829546,-87.6550409143026,"(41.80862762829546, -87.6550409143026)"
